,0,
20,20,"[20, 40, 43, 26, 36, 28, 45, 33, 50, 69, 17, 56, 52, 47, 50, 52, 47, 33, 43, 25, 56, 36, 43, 37, 38, 44, 40, 34, 43, 32, 18, 44, 65, 56, 26, 58, 67, 61, 51, 45, 24, 44, 49, 32, 34, 50]"
21,21,"[46, 52, 71, 41, 50, 71, 65, 31, 37, 44, 42, 61, 40, 44, 37, 27, 62, 55, 26, 53, 53, 38, 47, 54, 40, 48, 57, 52, 34, 41, 46, 36, 39, 44, 54, 30, 47, 72, 38, 30, 31, 31, 37, 59, 78, 42, 26, 38, 50, 50, 57, 53, 47, 62, 25, 47, 49, 79, 45, 29, 56, 48, 41, 52, 69, 37, 53, 65, 71, 59, 43, 54, 43, 52, 34]"
22,22,"[54, 57, 44, 26, 38, 44, 66, 48, 45, 64, 46, 49, 42, 46, 38, 35, 33, 35, 32, 37, 32, 36, 62, 75, 35, 51, 59, 35, 51, 86, 62, 57, 45, 73, 43, 47, 36, 54, 45, 37, 41, 33, 43, 46, 41, 37, 50]"
23,23,"[35, 45, 37, 45, 33, 47, 45, 48, 36, 50, 55, 28, 38, 47, 41, 40, 58, 59, 50, 48, 36, 50, 59, 45, 32, 43, 41, 45, 30, 28, 36, 16, 43, 29, 32, 38, 38, 46, 48, 38, 58, 29, 57, 48, 44, 33, 34, 24, 56, 39, 31, 23, 27, 32, 40, 37, 66, 37, 40, 39, 24, 18, 39, 39, 52, 38, 38, 35, 47, 63, 32, 34, 32, 24, 36, 54, 37, 27, 33, 26, 40, 69, 54, 26, 30, 39, 34, 47, 67, 53, 44, 62, 44, 32, 33, 55, 30, 23, 45, 24, 37, 35, 22, 32, 29, 49, 37, 50, 47, 53, 29, 38]"
24,24,"[24, 26, 40, 37, 17, 34, 43, 32, 35, 43, 43, 33, 40]"
25,25,"[57, 36, 36, 34, 48, 35, 61, 37, 46, 46, 55, 49, 32, 20, 66, 23, 28, 27, 15, 29, 35, 73, 27, 26, 51, 35, 41, 37, 59, 36, 39, 45]"
26,26,"[56, 43, 40, 58, 49, 49, 38, 42, 36, 35, 52, 43, 45, 49, 44, 67, 64, 37, 45, 54, 39, 39, 50, 27, 32, 50, 31, 46, 45, 54, 49, 42, 50, 52, 49, 59, 75, 56, 53, 59, 41, 49, 60, 43, 49, 56, 67, 54, 66, 59, 49, 57, 48, 52, 52, 60, 46, 46, 39, 41, 31, 43, 63, 39, 38, 45]"
27,27,"[38, 31, 68, 35, 44, 43, 34, 50, 35, 64, 58, 46, 51, 59, 48, 45, 74, 49, 56, 45, 76, 29, 49, 48, 49, 39, 40, 46, 49, 41, 47, 40, 35, 61, 46, 46, 52, 84, 57, 47, 64, 24, 44, 68, 47, 56, 66, 57, 54, 58, 58, 57, 38, 69, 57, 41, 34, 66, 48, 52, 47, 51, 49, 44, 45, 25, 37, 45, 47, 58, 69, 70, 47, 66, 65, 37, 53, 50, 32, 33, 36, 76, 58, 23, 55, 88, 57, 43, 69, 52, 63, 31, 52, 60, 36, 61, 46]"
28,28,"[39, 51, 39, 43, 40, 79, 41, 28, 46, 16, 69, 40, 34, 60, 49, 50, 34, 58, 28, 34, 30, 73, 60, 62, 48, 41, 74, 49, 77, 63, 60, 41, 53, 49, 32, 60, 71, 38, 48, 38, 43, 35, 42, 69, 67, 66, 83, 63, 49, 72, 38, 51, 21, 51]"
29,29,"[33, 37, 44, 41, 33, 31, 61, 40, 31, 72, 42, 49, 45, 44, 50, 38, 63, 26, 47, 25]"
